#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2019-09-16-05-00-03
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer
#types	time	string	addr	port	addr	port	string	string	bool	string
1568624405.969880	Cu0Ny3XbT7qk4UAtk	10.4.18.104	49197	195.245.112.5	443	premature_connection_reuse	-	F	zeek
1568624405.969882	Cy1q2B2Xa3LhtXNK5j	10.4.18.104	49199	172.217.9.174	80	premature_connection_reuse	-	F	zeek
1568624405.969892	CkekFi1aAYhVjlrxDb	10.4.18.104	49200	216.58.218.100	80	premature_connection_reuse	-	F	zeek
1568624405.970107	C8Dv0tK4px729hEzf	10.4.18.104	49201	216.58.218.100	443	premature_connection_reuse	-	F	zeek
1568624405.970175	CxhmyJ5YujkSLcYm3	10.4.18.104	49202	195.245.112.5	443	premature_connection_reuse	-	F	zeek
1568624405.970177	C6WzSWjIQzYXBcPZg	10.4.18.104	49203	195.245.112.5	443	premature_connection_reuse	-	F	zeek
1568624405.970210	CAyG0R378VgsURorBg	10.4.18.104	49204	195.245.112.5	443	premature_connection_reuse	-	F	zeek
1568624405.970214	C5E3bG4dh3GDh5bfY8	10.4.18.104	49205	195.245.112.5	443	premature_connection_reuse	-	F	zeek
1568624405.970230	CIMGsIKp73lnhaksa	10.4.18.104	49206	195.245.112.5	443	premature_connection_reuse	-	F	zeek
1568624405.970234	CW4W4u3WA84ZJh1kVd	10.4.18.104	49207	195.245.112.5	443	premature_connection_reuse	-	F	zeek
1568624405.970259	CwLLFM3tPkHfRCZRy1	10.4.18.104	49208	195.245.112.5	443	premature_connection_reuse	-	F	zeek
1568624405.970270	CXvStu43HS2LZY5Iql	10.4.18.104	49209	195.245.112.5	443	premature_connection_reuse	-	F	zeek
1568624406.077623	CnuhMb2tOkaGjFtFda	10.220.170.150	44518	74.125.34.46	443	active_connection_reuse	-	F	zeek
1568624406.162097	C7Fqtc3szX9ESyhzSd	10.220.170.150	44520	74.125.34.46	443	active_connection_reuse	-	F	zeek
1568624406.566926	CbRDEh1xkzLfP9Ig58	10.5.22.101	49170	27.123.25.1	80	inflate_failed	-	F	zeek
1568624406.567096	CbRDEh1xkzLfP9Ig58	10.5.22.101	49170	27.123.25.1	80	premature_connection_reuse	-	F	zeek
1568624407.057519	CFSMRZ1Ny8nxp0Rat8	10.2.22.101	49216	109.123.107.214	80	SYN_inside_connection	-	F	zeek
1568624407.057905	CnwbLr4Qp5lbI2n7u3	10.2.22.101	49229	81.177.6.153	80	premature_connection_reuse	-	F	zeek
1568624407.539849	CQeUx43KB0rQr2J3fd	10.8.3.102	49187	0.0.0.0	80	premature_connection_reuse	-	F	zeek
1568624407.539853	CxQXSy2G1yhXP58E7k	10.8.3.102	49188	188.165.10.178	80	premature_connection_reuse	-	F	zeek
1568624407.539858	CuYyxp3njpkvPVFVI7	10.8.3.102	49190	188.165.92.16	80	premature_connection_reuse	-	F	zeek
1568624407.539863	CpBAbq3wQUcbxnm1Lh	10.8.3.102	49194	188.165.92.16	80	premature_connection_reuse	-	F	zeek
1568624407.539867	CcLUzu2d4iY17Ymku9	10.8.3.102	49195	188.165.92.16	80	premature_connection_reuse	-	F	zeek
1568624407.544360	CCVZzBTMQJU4wXNy9	10.8.3.102	49201	172.86.120.121	80	SYN_inside_connection	-	F	zeek
1568624408.089320	CT0ppwOg3aVHsW2p3	10.5.30.102	49272	23.23.120.37	80	SYN_inside_connection	-	F	zeek
1568624408.089326	CwRfDG1ZlnNCT2syN2	10.5.30.102	49273	95.182.79.233	80	SYN_inside_connection	-	F	zeek
1568624408.089334	CEGYb249ejgw7KKan9	10.5.30.102	49274	192.186.249.64	80	SYN_inside_connection	-	F	zeek
1568624408.593901	CpmA533xLaGzvG4jM1	10.9.8.102	49219	52.43.168.154	80	SYN_inside_connection	-	F	zeek
1568624408.594096	C6eyIS2Fff9Vszn3Y2	10.9.8.102	49247	195.88.81.104	80	premature_connection_reuse	-	F	zeek
1568624408.600692	CmJnkq28vi14YuWrJg	10.9.8.102	49258	94.242.198.167	1488	SYN_inside_connection	-	F	zeek
1568624409.095542	CE24ts3DGmPXUjjHTk	10.8.4.103	49179	0.0.0.0	80	premature_connection_reuse	-	F	zeek
1568624409.095545	CkbgT7121jwY7C7BTb	10.8.4.103	49180	188.165.10.177	80	premature_connection_reuse	-	F	zeek
1568624409.095549	CxyJ5q4gyD61Ljxuve	10.8.4.103	49181	51.255.20.152	80	premature_connection_reuse	-	F	zeek
1568624409.095555	Cn1Db92NJPkIZjabdh	10.8.4.103	49183	51.255.20.152	80	premature_connection_reuse	-	F	zeek
1568624409.099992	CI3MQa2Yk5uTQOjTJa	10.8.4.103	49186	172.86.120.121	80	SYN_inside_connection	-	F	zeek
1568624409.686939	CBn7dS3LBrp23DjQSi	10.220.170.150	44522	74.125.34.46	443	active_connection_reuse	-	F	zeek
1568624409.714625	CtsFG41py0EYui8687	10.220.170.150	44524	74.125.34.46	443	active_connection_reuse	-	F	zeek
1568624410.207370	CPMSVp2g10xiWLu4g1	10.2.28.101	49423	81.177.140.75	80	possible_split_routing	-	F	zeek
1568624410.207371	CPMSVp2g10xiWLu4g1	10.2.28.101	49423	81.177.140.75	80	data_before_established	-	F	zeek
1568624410.207384	CPMSVp2g10xiWLu4g1	10.2.28.101	49423	81.177.140.75	80	window_recision	-	F	zeek
1568624410.207696	Cohzzg42DWNW4QZSg8	10.2.28.101	49351	88.99.60.205	80	SYN_inside_connection	-	F	zeek
1568624410.750591	CsL8V84jwSqLolowGe	10.11.2.101	49414	2.21.147.140	80	premature_connection_reuse	-	F	zeek
1568624410.750602	CWe89R1OMzYdxLVdUc	10.11.2.101	49415	80.239.245.16	80	premature_connection_reuse	-	F	zeek
1568624410.750612	C4ZRZi1JMhgcx4bsF8	10.11.2.101	49416	80.239.245.16	80	premature_connection_reuse	-	F	zeek
1568624410.750622	CbHqex22grJRmore5d	10.11.2.101	49417	80.239.245.16	80	premature_connection_reuse	-	F	zeek
1568624410.750639	Cw7eCV1RwQHlzApDe1	10.11.2.101	49418	95.100.140.60	80	premature_connection_reuse	-	F	zeek
1568624410.750647	CEemCoXUYqlpnfNg9	10.11.2.101	49419	80.239.245.60	80	premature_connection_reuse	-	F	zeek
1568624410.750702	Cvu9uzuQIFMFUPX7d	10.11.2.101	49421	80.239.245.16	80	premature_connection_reuse	-	F	zeek
1568624410.750713	CLAq130dxWStYAbCi	10.11.2.101	49422	80.239.245.16	80	premature_connection_reuse	-	F	zeek
1568624410.750963	CGFGcnoTctNMqXtA1	10.11.2.101	49427	95.100.140.60	80	premature_connection_reuse	-	F	zeek
1568624410.751130	C56qey2qMT5ajD7xoi	10.11.2.101	49428	80.239.245.16	80	premature_connection_reuse	-	F	zeek
1568624410.751142	CXguVacHUKp20Lc7d	10.11.2.101	49429	213.248.116.208	80	premature_connection_reuse	-	F	zeek
1568624410.751159	Ce0kFF1yoi22lZElq8	10.11.2.101	49431	80.239.245.16	80	premature_connection_reuse	-	F	zeek
1568624410.751173	CB6bcj149vteO9grYh	10.11.2.101	49432	213.248.116.208	80	premature_connection_reuse	-	F	zeek
1568624410.751187	CitN3v3zsoLCHErrc8	10.11.2.101	49434	80.239.245.16	80	premature_connection_reuse	-	F	zeek
1568624410.751199	C8gHMq37CJrLNqqcQd	10.11.2.101	49435	80.239.245.16	80	premature_connection_reuse	-	F	zeek
1568624410.751392	CbDDJL38XI9S9Mmdlh	10.11.2.101	49438	80.239.245.60	80	premature_connection_reuse	-	F	zeek
1568624410.751431	CgtLGk1GD1qz0qDGR3	10.11.2.101	49440	80.239.245.16	80	premature_connection_reuse	-	F	zeek
1568624410.751436	Ce56kXrq34XV6OT9l	10.11.2.101	49441	80.239.245.16	80	premature_connection_reuse	-	F	zeek
1568624410.751442	CR0mVr1W0KJYuNwHfi	10.11.2.101	49442	213.248.116.208	80	premature_connection_reuse	-	F	zeek
1568624410.751658	C0Ivh42DE3Vo5LHL8l	10.11.2.101	49445	80.239.245.16	80	premature_connection_reuse	-	F	zeek
1568624410.751851	CUstTL3jnix8YYF4D7	10.11.2.101	49446	80.239.245.60	80	premature_connection_reuse	-	F	zeek
1568624410.751883	CShHY72sor2t305mO9	10.11.2.101	49447	213.248.116.208	80	premature_connection_reuse	-	F	zeek
1568624410.751894	CX9ciU2gLIUmAxTwc5	10.11.2.101	49450	80.239.245.16	80	premature_connection_reuse	-	F	zeek
1568624410.751898	C1whY31x10bXpOkQxa	10.11.2.101	49451	80.239.245.16	80	premature_connection_reuse	-	F	zeek
1568624411.367089	CmRGR24wImVrg4ifk	10.2.15.110	49378	96.30.40.48	80	SYN_inside_connection	-	F	zeek
1568624411.367178	Cn61ny1r9ofke9qDGe	10.2.15.110	49401	190.90.163.225	80	premature_connection_reuse	-	F	zeek
1568624411.367271	CqveRq3Zd8nK54gsOb	10.2.15.110	49409	186.2.163.47	80	SYN_inside_connection	-	F	zeek
1568624411.910152	C2B3aq1IZY3m8C1Mbc	10.3.15.101	49169	5.200.52.37	80	inflate_failed	-	F	zeek
1568624411.912105	CB16ta2YwevuT9rNM	10.3.15.101	49162	188.132.180.71	80	premature_connection_reuse	-	F	zeek
1568624411.912141	C2B3aq1IZY3m8C1Mbc	10.3.15.101	49169	5.200.52.37	80	SYN_inside_connection	-	F	zeek
1568624411.912260	CTUlU12jYUiU3MbZW5	10.3.15.101	49180	5.200.52.37	80	SYN_inside_connection	-	F	zeek
1568624411.912802	CcLSTT3VlRy2NZmMs4	10.3.15.101	63630	185.121.177.53	53	premature_connection_reuse	-	F	zeek
1568624411.912821	CNWxpu4DjgVvrECv0d	10.3.15.101	63632	185.13.36.121	443	premature_connection_reuse	-	F	zeek
1568624411.912827	CFqQKo3mRi2Cj6zpY8	10.3.15.101	63633	185.13.36.121	443	premature_connection_reuse	-	F	zeek
1568624411.912862	Cggpzw4ojKEdolPFT6	10.3.15.101	62245	185.121.177.53	53	premature_connection_reuse	-	F	zeek
1568624411.912870	Cmxkj120QeDeSvLTIk	10.3.15.101	62248	91.198.22.70	80	premature_connection_reuse	-	F	zeek
1568624411.912892	CmPHdK1BZoDEX9ORG2	10.3.15.101	62251	185.13.36.121	443	premature_connection_reuse	-	F	zeek
1568624411.912899	CaLVzA3p9OjASdSIve	10.3.15.101	62252	185.13.36.121	443	premature_connection_reuse	-	F	zeek
1568624411.912901	CFTTHr1zLORDVOKj29	10.3.15.101	62253	178.16.208.62	443	SYN_inside_connection	-	F	zeek
1568624411.913483	CsTOfC3wdj82GoSdtg	10.3.15.101	55861	185.121.177.53	53	premature_connection_reuse	-	F	zeek
1568624411.914028	CyGDAz2RMnlgdsPr0c	10.3.15.101	55865	185.13.36.121	443	premature_connection_reuse	-	F	zeek
1568624411.914036	C3COp35yIUlWGF97	10.3.15.101	55866	185.13.36.121	443	premature_connection_reuse	-	F	zeek
1568624411.914057	CR63JPoZcewx0hxq4	10.3.15.101	62553	185.121.177.53	53	premature_connection_reuse	-	F	zeek
1568624411.914058	CdBiL7BTp6EpWvb4c	10.3.15.101	64754	185.121.177.53	53	premature_connection_reuse	-	F	zeek
1568624411.914084	ChehmW2uwifFFJn6tc	10.3.15.101	64757	5.9.110.236	9001	SYN_inside_connection	-	F	zeek
1568624411.914164	CulQov3ewwtiJpOII6	10.3.15.101	64758	185.13.36.121	443	premature_connection_reuse	-	F	zeek
1568624411.914166	CCSDBjlVTsaE0Btl	10.3.15.101	64759	185.13.36.121	443	premature_connection_reuse	-	F	zeek
1568624411.914167	CR8sgn1tSpzy3a9sZ	10.3.15.101	64760	213.197.22.124	9001	SYN_inside_connection	-	F	zeek
1568624411.914168	CpXtaz1ehWgfj4czT9	10.3.15.101	64761	163.172.185.132	9001	SYN_inside_connection	-	F	zeek
1568624411.914169	CmhmIIWvjSoAAB4i5	10.3.15.101	64762	82.94.251.227	443	SYN_inside_connection	-	F	zeek
1568624411.914180	CV3IAYKC5WHS8wyG2	10.3.15.101	64763	185.13.36.121	443	SYN_inside_connection	-	F	zeek
1568624411.914182	CWRQSnbLn7fhiq4hb	10.3.15.101	64764	185.13.36.121	443	SYN_inside_connection	-	F	zeek
1568624412.423890	CejtM29qSyrKF3g3h	10.12.4.102	49171	64.29.151.221	80	premature_connection_reuse	-	F	zeek
1568624412.423899	C9ZuGr2lrjoqAdCE0c	10.12.4.102	49173	47.254.17.41	80	premature_connection_reuse	-	F	zeek
1568624412.424445	COcSCV1UGe9PHgj3C5	10.12.4.102	49178	91.92.136.107	443	SYN_inside_connection	-	F	zeek
1568624413.004383	CoteoxmFxTKuivbe4	10.10.2.101	49160	46.162.24.26	80	premature_connection_reuse	-	F	zeek
1568624413.489276	CvmxIq4gFMOcqe3EE5	10.6.28.106	49158	115.84.178.83	80	SYN_inside_connection	-	F	zeek
1568624414.004654	Cuc8ImScOSNbqf8Si	10.12.19.102	49182	184.73.220.206	80	premature_connection_reuse	-	F	zeek
1568624414.004661	CgNcZV3ZHsEG3uAIyk	10.12.19.102	49183	193.33.133.88	80	premature_connection_reuse	-	F	zeek
1568624414.004669	CwYDvx41IFJTLMzvSb	10.12.19.102	49184	184.106.55.121	80	premature_connection_reuse	-	F	zeek
1568624414.004724	Clxajw1XI3tSeFJo26	10.12.19.102	49185	193.33.133.88	80	premature_connection_reuse	-	F	zeek
1568624414.004762	Cv8lnK93IHhX42fng	10.12.19.102	49186	193.33.133.88	80	premature_connection_reuse	-	F	zeek
1568624414.004951	CxNSpwLoopZ1brVck	10.12.19.102	49187	193.33.133.88	80	premature_connection_reuse	-	F	zeek
1568624414.004957	ChyQhqNfVW4TRprZ6	10.12.19.102	49188	185.130.212.105	443	premature_connection_reuse	-	F	zeek
1568624414.004969	CVGA5U2vqX3j2Ex4gh	10.12.19.102	49190	185.130.212.105	443	premature_connection_reuse	-	F	zeek
1568624414.004996	CqEts6N3sl7k590A4	10.12.19.102	49191	185.130.212.105	443	premature_connection_reuse	-	F	zeek
1568624414.005006	CsbuS333KGLtWGAte3	10.12.19.102	49192	185.130.212.105	443	premature_connection_reuse	-	F	zeek
1568624414.005040	CKNOKO3J3zLyNwzcT8	10.12.19.102	49193	193.33.133.88	80	premature_connection_reuse	-	F	zeek
1568624414.005053	CxOwng475NIe4HemTj	10.12.19.102	49194	193.33.133.88	80	premature_connection_reuse	-	F	zeek
1568624414.005059	Cv9e0w20UcC7ufRtBe	10.12.19.102	49195	185.130.212.105	443	premature_connection_reuse	-	F	zeek
1568624414.005069	Cpmej41cu3Tdmwcsfb	10.12.19.102	49196	185.130.212.105	443	premature_connection_reuse	-	F	zeek
1568624414.005086	Cj9TtF2i376V3WeHSg	10.12.19.102	49197	185.130.212.105	443	premature_connection_reuse	-	F	zeek
1568624414.005096	CzhZKM2oZXjki4Jbua	10.12.19.102	49198	185.130.212.105	443	premature_connection_reuse	-	F	zeek
1568624414.005121	C8KJc74THVyKc78Nvf	10.12.19.102	49199	193.33.133.88	80	premature_connection_reuse	-	F	zeek
1568624414.005129	C1uJYy1df9JnguVwyg	10.12.19.102	49200	193.33.133.88	80	premature_connection_reuse	-	F	zeek
1568624414.005138	CVrDnDPFFNeDVZe66	10.12.19.102	49201	216.58.198.196	443	premature_connection_reuse	-	F	zeek
1568624414.005154	CxedCu4LgAQ3McMwX	10.12.19.102	49203	185.130.212.105	443	premature_connection_reuse	-	F	zeek
1568624414.005169	CN0Ao711WKaXxlNmQk	10.12.19.102	49204	185.130.212.105	443	premature_connection_reuse	-	F	zeek
1568624414.005184	CcuVMu13fgZ7fZV5df	10.12.19.102	49205	193.33.133.88	80	premature_connection_reuse	-	F	zeek
1568624414.005193	Cv8DgO3DQC0yWFkf9e	10.12.19.102	49206	185.130.212.105	443	premature_connection_reuse	-	F	zeek
1568624414.005203	Cf9dAY1fjFDqvoynL8	10.12.19.102	49207	185.130.212.105	443	premature_connection_reuse	-	F	zeek
1568624414.005220	CAVLXz1mzFJa5fTXXk	10.12.19.102	49208	185.130.212.105	443	premature_connection_reuse	-	F	zeek
1568624414.005230	CjTcqJ3Nel9kyn0Kj3	10.12.19.102	49209	185.130.212.105	443	premature_connection_reuse	-	F	zeek
1568624414.005255	CVOUeN25x9wiyte5mj	10.12.19.102	49210	193.33.133.88	80	premature_connection_reuse	-	F	zeek
1568624414.005264	Cip1Rf2ufcHMKPhx4b	10.12.19.102	49211	193.33.133.88	80	premature_connection_reuse	-	F	zeek
1568624414.005270	CSGNzl14HpAf9lpO52	10.12.19.102	49212	185.130.212.105	443	premature_connection_reuse	-	F	zeek
1568624414.005280	CrPffD2nRnslaYe4Di	10.12.19.102	49213	185.130.212.105	443	premature_connection_reuse	-	F	zeek
1568624414.005301	CFRz1D1DzNmDsutZ6i	10.12.19.102	49214	185.130.212.105	443	premature_connection_reuse	-	F	zeek
1568624414.005312	CPR3If3hkuA5grosNe	10.12.19.102	49215	185.130.212.105	443	premature_connection_reuse	-	F	zeek
1568624414.005331	C0pLrdUtE21iXZJo5	10.12.19.102	49216	193.33.133.88	80	premature_connection_reuse	-	F	zeek
1568624414.005340	ClQ73B4cbRid5C5or7	10.12.19.102	49217	193.33.133.88	80	premature_connection_reuse	-	F	zeek
1568624414.005353	Cf236b4xITaKFlDqW3	10.12.19.102	49218	185.130.212.105	443	premature_connection_reuse	-	F	zeek
1568624414.005363	Cx07i22C50C9RxelJ	10.12.19.102	49219	185.130.212.105	443	premature_connection_reuse	-	F	zeek
1568624414.005380	CRoxMZKnfOtMPckY4	10.12.19.102	49220	193.33.133.88	80	premature_connection_reuse	-	F	zeek
1568624414.005386	CFW6Nx2WmxnJ1bs5ol	10.12.19.102	49221	185.130.212.105	443	premature_connection_reuse	-	F	zeek
1568624414.005396	CV7dhC2xfI42wlFa3b	10.12.19.102	49222	185.130.212.105	443	premature_connection_reuse	-	F	zeek
1568624414.005418	Cu7lOx4BJlEJ8bWn1h	10.12.19.102	49223	185.130.212.105	443	premature_connection_reuse	-	F	zeek
1568624414.005428	CTu3GnRetYH09ize4	10.12.19.102	49224	185.130.212.105	443	premature_connection_reuse	-	F	zeek
1568624414.005448	CvpKfS2w47lD38r5rc	10.12.19.102	49225	193.33.133.88	80	premature_connection_reuse	-	F	zeek
1568624414.005457	C7dYbB4NsWrLm3Or54	10.12.19.102	49226	193.33.133.88	80	premature_connection_reuse	-	F	zeek
1568624414.005462	Cb3sij50V3p7PhVm9	10.12.19.102	49227	185.130.212.105	443	premature_connection_reuse	-	F	zeek
1568624414.005477	Csfg6uwchXX4W5LUb	10.12.19.102	49228	185.130.212.105	443	premature_connection_reuse	-	F	zeek
1568624414.005494	C7fTDr1qwbeVByNRs6	10.12.19.102	49229	185.130.212.105	443	premature_connection_reuse	-	F	zeek
